Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
6333333
Epoch 1: loss=1.94999
Test accuracy: 0.703
Train accuracy: 0.439
Epoch 2: loss=1.04135
Test accuracy: 0.822
Train accuracy: 0.742
Epoch 3: loss=0.65565
Test accuracy: 0.859
Train accuracy: 0.827
Epoch 4: loss=0.51120
Test accuracy: 0.884
Train accuracy: 0.861
Epoch 5: loss=0.43830
Test accuracy: 0.893
Train accuracy: 0.879
Epoch 6: loss=0.39366
Test accuracy: 0.901
Train accuracy: 0.890
Epoch 7: loss=0.37341
Test accuracy: 0.902
Train accuracy: 0.895
Epoch 8: loss=0.36980
Test accuracy: 0.903
Train accuracy: 0.896
Epoch 9: loss=0.36693
Test accuracy: 0.903
Train accuracy: 0.897
Epoch 10: loss=0.36397
Test accuracy: 0.904
Train accuracy: 0.898
Epoch 11: loss=0.36076
Test accuracy: 0.904
Train accuracy: 0.898
Epoch 12: loss=0.35813
Test accuracy: 0.904
Train accuracy: 0.899
Epoch 13: loss=0.35592
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 14: loss=0.35588
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 15: loss=0.35557
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 16: loss=0.35523
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 17: loss=0.35499
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 18: loss=0.35464
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 19: loss=0.35462
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 20: loss=0.35449
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 21: loss=0.35431
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 22: loss=0.35418
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 23: loss=0.35414
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 24: loss=0.35430
Test accuracy: 0.904
Train accuracy: 0.900
Epoch 25: loss=0.35407
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 26: loss=0.35431
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 27: loss=0.35414
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 28: loss=0.35430
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 29: loss=0.35416
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 30: loss=0.35421
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 31: loss=0.35431
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 32: loss=0.35433
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 33: loss=0.35441
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 34: loss=0.35435
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 35: loss=0.35407
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 36: loss=0.35424
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 37: loss=0.35434
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 38: loss=0.35432
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 39: loss=0.35411
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 40: loss=0.35429
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 41: loss=0.35438
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 42: loss=0.35422
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 43: loss=0.35441
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 44: loss=0.35424
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 45: loss=0.35442
Test accuracy: 0.905
Train accuracy: 0.900
Epoch 46: loss=0.35439
Test accuracy: 0.905
Train accuracy: 0.900
