Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
3333333
Epoch 1: loss=2.30652
Test accuracy: 0.097
Train accuracy: 0.097
Epoch 2: loss=2.30268
Test accuracy: 0.113
Train accuracy: 0.110
Epoch 3: loss=2.30160
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 4: loss=2.30132
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 5: loss=2.30124
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 6: loss=2.30122
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 7: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 8: loss=2.30116
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 9: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 10: loss=2.30116
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 11: loss=2.30117
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 12: loss=2.30116
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 13: loss=2.30117
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 14: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 15: loss=2.30116
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 16: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 17: loss=2.30115
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 18: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 19: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 20: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 21: loss=2.30116
Test accuracy: 0.114
Train accuracy: 0.112
Epoch 22: loss=2.30117
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 23: loss=2.30117
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 24: loss=2.30116
Test accuracy: 0.113
Train accuracy: 0.112
Epoch 25: loss=2.30117
Test accuracy: 0.113
