Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
34333333
Epoch 1: loss=1.00794
Test accuracy: 0.855
Train accuracy: 0.723
Epoch 2: loss=0.41060
Test accuracy: 0.887
Train accuracy: 0.879
Epoch 3: loss=0.33282
Test accuracy: 0.899
Train accuracy: 0.903
Epoch 4: loss=0.29060
Test accuracy: 0.900
Train accuracy: 0.915
Epoch 5: loss=0.25901
Test accuracy: 0.904
Train accuracy: 0.924
Epoch 6: loss=0.23793
Test accuracy: 0.907
Train accuracy: 0.928
Epoch 7: loss=0.22532
Test accuracy: 0.895
Train accuracy: 0.932
Epoch 8: loss=0.22709
Test accuracy: 0.827
Train accuracy: 0.931
Epoch 9: loss=0.25412
Test accuracy: 0.436
Train accuracy: 0.923
Epoch 10: loss=0.26756
Test accuracy: 0.361
Train accuracy: 0.920
Epoch 11: loss=0.27820
Test accuracy: 0.301
Train accuracy: 0.917
Epoch 12: loss=0.29247
Test accuracy: 0.241
Train accuracy: 0.912
Epoch 13: loss=0.30719
Test accuracy: 0.198
Train accuracy: 0.910
Epoch 14: loss=0.32487
Test accuracy: 0.156
Train accuracy: 0.905
Epoch 15: loss=0.34550
Test accuracy: 0.134
Train accuracy: 0.901
Epoch 16: loss=0.36846
Test accuracy: 0.116
Train accuracy: 0.895
Epoch 17: loss=0.39664
Test accuracy: 0.106
Train accuracy: 0.889
Epoch 18: loss=0.42819
Test accuracy: 0.099
Train accuracy: 0.882
Epoch 19: loss=0.44475
Test accuracy: 0.099
Train accuracy: 0.879
Epoch 20: loss=0.44807
Test accuracy: 0.099
Train accuracy: 0.878
Epoch 21: loss=0.45118
Test accuracy: 0.098
Train accuracy: 0.878
Epoch 22: loss=0.45458
Test accuracy: 0.098
Train accuracy: 0.877
Epoch 23: loss=0.45787
Test accuracy: 0.098
Train accuracy: 0.877
Epoch 24: loss=0.46072
Test accuracy: 0.097
Train accuracy: 0.877
Epoch 25: loss=0.46461
Test accuracy: 0.097
Train accuracy: 0.876
Epoch 26: loss=0.46780
Test accuracy: 0.096
Train accuracy: 0.875
Epoch 27: loss=0.47077
Test accuracy: 0.095
Train accuracy: 0.875
Epoch 28: loss=0.47213
Test accuracy: 0.096
Train accuracy: 0.874
Epoch 29: loss=0.47272
Test accuracy: 0.096
Train accuracy: 0.874
Epoch 30: loss=0.47325
Test accuracy: 0.096
Train accuracy: 0.874
Epoch 31: loss=0.47365
Test accuracy: 0.096
Train accuracy: 0.874
Epoch 32: loss=0.47401
Test accuracy: 0.096
Train accuracy: 0.874
Epoch 33: loss=0.47454
Test accuracy: 0.096
Train accuracy: 0.874
Epoch 34: loss=0.47488
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 35: loss=0.47532
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 36: loss=0.47536
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 37: loss=0.47535
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 38: loss=0.47540
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 39: loss=0.47542
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 40: loss=0.47547
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 41: loss=0.47552
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 42: loss=0.47543
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 43: loss=0.47542
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 44: loss=0.47548
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 45: loss=0.47549
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 46: loss=0.47547
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 47: loss=0.47547
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 48: loss=0.47547
Test accuracy: 0.095
Train accuracy: 0.874
Epoch 49: loss=0.47548
Test accuracy: 0.095
