Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
5333333
Epoch 1: loss=2.33858
Test accuracy: 0.158
Train accuracy: 0.115
Epoch 2: loss=2.17868
Test accuracy: 0.402
Train accuracy: 0.274
Epoch 3: loss=1.75957
Test accuracy: 0.606
Train accuracy: 0.486
Epoch 4: loss=1.30712
Test accuracy: 0.717
Train accuracy: 0.634
Epoch 5: loss=1.02906
Test accuracy: 0.765
Train accuracy: 0.712
Epoch 6: loss=0.88669
Test accuracy: 0.790
Train accuracy: 0.752
Epoch 7: loss=0.81001
Test accuracy: 0.805
Train accuracy: 0.774
Epoch 8: loss=0.76166
Test accuracy: 0.815
Train accuracy: 0.789
Epoch 9: loss=0.72903
Test accuracy: 0.824
Train accuracy: 0.797
Epoch 10: loss=0.71463
Test accuracy: 0.823
Train accuracy: 0.801
Epoch 11: loss=0.71210
Test accuracy: 0.824
Train accuracy: 0.802
Epoch 12: loss=0.70970
Test accuracy: 0.824
Train accuracy: 0.803
Epoch 13: loss=0.70742
Test accuracy: 0.824
Train accuracy: 0.804
Epoch 14: loss=0.70515
Test accuracy: 0.827
Train accuracy: 0.805
Epoch 15: loss=0.70306
Test accuracy: 0.827
Train accuracy: 0.805
Epoch 16: loss=0.70089
Test accuracy: 0.827
Train accuracy: 0.805
Epoch 17: loss=0.69878
Test accuracy: 0.828
Train accuracy: 0.807
Epoch 18: loss=0.69680
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 19: loss=0.69567
Test accuracy: 0.828
Train accuracy: 0.807
Epoch 20: loss=0.69546
Test accuracy: 0.828
Train accuracy: 0.807
Epoch 21: loss=0.69526
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 22: loss=0.69506
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 23: loss=0.69485
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 24: loss=0.69467
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 25: loss=0.69451
Test accuracy: 0.828
Train accuracy: 0.807
Epoch 26: loss=0.69428
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 27: loss=0.69405
Test accuracy: 0.829
Train accuracy: 0.808
Epoch 28: loss=0.69394
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 29: loss=0.69392
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 30: loss=0.69388
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 31: loss=0.69385
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 32: loss=0.69382
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 33: loss=0.69380
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 34: loss=0.69378
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 35: loss=0.69377
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 36: loss=0.69375
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 37: loss=0.69374
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 38: loss=0.69374
Test accuracy: 0.828
Train accuracy: 0.807
Epoch 39: loss=0.69373
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 40: loss=0.69373
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 41: loss=0.69372
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 42: loss=0.69372
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 43: loss=0.69372
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 44: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 45: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 46: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 47: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 48: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 49: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 50: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 51: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 52: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 53: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 54: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 55: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 56: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 57: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 58: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 59: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 60: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 61: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 62: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 63: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 64: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 65: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 66: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 67: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 68: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 69: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 70: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 71: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 72: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 73: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 74: loss=0.69371
Test accuracy: 0.829
Train accuracy: 0.807
Epoch 75: loss=0.69371
Test accuracy: 0.829
