Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
6333333
Epoch 1: loss=1.77537
Test accuracy: 0.749
Train accuracy: 0.486
Epoch 2: loss=0.80303
Test accuracy: 0.845
Train accuracy: 0.786
Epoch 3: loss=0.52561
Test accuracy: 0.876
Train accuracy: 0.852
Epoch 4: loss=0.42822
Test accuracy: 0.891
Train accuracy: 0.877
Epoch 5: loss=0.37558
Test accuracy: 0.903
Train accuracy: 0.890
Epoch 6: loss=0.34194
Test accuracy: 0.910
Train accuracy: 0.900
Epoch 7: loss=0.31823
Test accuracy: 0.913
Train accuracy: 0.907
Epoch 8: loss=0.29982
Test accuracy: 0.917
Train accuracy: 0.913
Epoch 9: loss=0.28497
Test accuracy: 0.920
Train accuracy: 0.918
Epoch 10: loss=0.27569
Test accuracy: 0.920
Train accuracy: 0.921
Epoch 11: loss=0.27430
Test accuracy: 0.920
Train accuracy: 0.922
Epoch 12: loss=0.27299
Test accuracy: 0.921
Train accuracy: 0.922
Epoch 13: loss=0.27185
Test accuracy: 0.921
Train accuracy: 0.922
Epoch 14: loss=0.27064
Test accuracy: 0.921
Train accuracy: 0.922
Epoch 15: loss=0.26946
Test accuracy: 0.922
Train accuracy: 0.923
Epoch 16: loss=0.26839
Test accuracy: 0.922
Train accuracy: 0.923
Epoch 17: loss=0.26720
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 18: loss=0.26621
Test accuracy: 0.923
Train accuracy: 0.924
Epoch 19: loss=0.26530
Test accuracy: 0.924
Train accuracy: 0.925
Epoch 20: loss=0.26520
Test accuracy: 0.923
Train accuracy: 0.925
Epoch 21: loss=0.26511
Test accuracy: 0.923
Train accuracy: 0.924
Epoch 22: loss=0.26500
Test accuracy: 0.923
Train accuracy: 0.924
Epoch 23: loss=0.26488
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 24: loss=0.26476
Test accuracy: 0.923
Train accuracy: 0.924
Epoch 25: loss=0.26466
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 26: loss=0.26446
Test accuracy: 0.924
Train accuracy: 0.925
Epoch 27: loss=0.26440
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 28: loss=0.26429
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 29: loss=0.26427
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 30: loss=0.26428
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 31: loss=0.26426
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 32: loss=0.26425
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 33: loss=0.26423
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 34: loss=0.26424
Test accuracy: 0.924
Train accuracy: 0.924
Epoch 35: loss=0.26424
Test accuracy: 0.924
Train accuracy: 0.924
